分支,類型,名稱,指令,內容
DEFAULT,TALK,???,,.....................................................。
DEFAULT,TALK,???,,..................................。
DEFAULT,TALK,???,,......。
DEFAULT,TALK,,,女主角緩緩地睜開雙眼。
DEFAULT,TALK,,,早上了嗎？
DEFAULT,TALK,,,好亮。
DEFAULT,TALK,,,唉......真不想醒來。
DEFAULT,TALK,,,好想永遠縮在睡袋裡不用起來。
DEFAULT,TALK,,,但身上的錢......。
DEFAULT,TALK,,,什麼時候也讓我中個彩票頭獎之類的。
DEFAULT,TALK,女主角,,不過昨天又做了那個奇怪的夢。
DEFAULT,TALK,女主角,,真晦氣。
DEFAULT,TALK,,,女主角拿起鏡子照著自己。
DEFAULT,TALK,女主角,,這看起來像是為了生活費打拼的可憐社畜。
DEFAULT,TALK,女主角,,每天都是一個無止境的循環。
DEFAULT,TALK,女主角,,這就是我的人生嗎？
DEFAULT,CHOICE,END,DEFAULT,離開
