分支,類型,名稱,指令,內容
DEFAULT,TALK,流浪商人,,嘿，小夥子，我看你盯著那骰子看了有一會兒啦。興趣不小啊！想不想來試試運氣？咱們來賭一局怎麼樣？
DEFAULT,TALK,我,,賭？我可不常玩這些……但偶爾換換心情也無妨吧。好吧，賭什麼？
DEFAULT,TALK,流浪商人,,哈哈，不用擔心！我這有的是有趣的賭法，讓我來介紹給你兩個簡單的。
DEFAULT,TALK,流浪商人,,首先，這個叫賭大小，玩法簡單——你只需要下注兩個骰子的點數總和。點數越大風險越高，回報也越高。你可以選擇低總和（2到4），中等總和（5到9），或是高總和（10到12）。
DEFAULT,TALK,流浪商人,,怎麼樣？聽起來不錯吧？
DEFAULT,TALK,我,,聽起來還行，簡單明瞭……那另一個呢？
DEFAULT,TALK,流浪商人,,另一個嘛，叫賭雙骰。
DEFAULT,TALK,流浪商人,,這更刺激些！你只要押兩個骰子是否會擲出相同的點數——如果是，那你就賺大了！
DEFAULT,TALK,流浪商人,,怎樣？簡單又不失挑戰吧？
DEFAULT,TALK,我,,好像還真有意思……我覺得可以試試。
DEFAULT,TALK,流浪商人,,既然你剛開始，這50個籌碼就當作我的禮物！拿去吧，小試牛刀。誰知道呢，也許今天就是你發財的日子！
DEFAULT,TALK,我,,看來我今天是無法拒絕了。那麼，我該從哪個開始呢？
