標籤,名稱,敵人標籤,獎勵,關卡配置,初始位置,地形標籤
1001,小怪,2 4=1005,,BATTLE,0 0,6 2=1003;4 2=1001;5 4=1001
1002,小怪,3 1=1004,,BATTLE,0 0,4 4=1001;1 4=1001;5 2=1001;2 2=1001;6 2=1003
1003,小怪,3 3=1001,,BATTLE,0 0,3 4=1002;2 4=1001;3 2=1001
1004,小怪,7 4=1004;5 4=1001;7 3=1003,,BATTLE,0 0,4 1=1001;2 1=1001;5 2=1001;6 4=1001
1005,小怪,2 4=1004;2 3=1004,,BATTLE,0 0,3 4=1001
1006,小怪,5 1=1002,,BATTLE,0 0,5 2=1003
1007,小怪,1 1=1002,,BATTLE,0 0,1 4=1003;5 4=1002;3 4=1001
1008,小怪,7 4=1005;3 4=1003;3 1=1001,,BATTLE,0 0,5 2=1002;2 4=1003;6 4=1002
1009,小怪,5 2=1001;6 2=1002;2 3=1003,,BATTLE,0 0,4 2=1003;5 1=1001;7 1=1002
1010,小怪,4 1=1001;1 3=1003;2 4=1005,,BATTLE,0 0,5 4=1001
1011,小怪,1 4=1005;3 4=1005,,BATTLE,0 0,3 1=1001
1012,小怪,3 3=1003;1 1=1003;2 3=1002,,BATTLE,0 0,1 4=1002;1 2=1003;6 3=1003
1013,小怪,1 1=1005;7 1=1005;6 2=1004,,BATTLE,0 0,2 2=1003;4 2=1002
1014,小怪,7 2=1005;2 4=1003,,BATTLE,0 0,6 4=1003
1015,小怪,1 3=1001,,BATTLE,0 0,2 4=1001
1016,小怪,7 1=1001;6 2=1001,,BATTLE,0 0,4 4=1001
1017,小怪,5 3=1002;1 3=1005,,BATTLE,0 0,3 4=1001;4 3=1002
1018,小怪,2 2=1001;6 4=1005,,BATTLE,0 0,3 2=1001;7 2=1001;6 1=1002;1 4=1002
1019,小怪,2 3=1005;1 2=1003;2 4=1001,,BATTLE,0 0,7 3=1001
1020,小怪,6 2=1002;7 3=1005,,BATTLE,0 0,7 4=1003;6 1=1003;1 2=1003;4 3=1002;3 3=1003
1021,小怪,3 4=1005;4 3=1003,,BATTLE,0 0,1 4=1001;1 1=1001;6 2=1001;7 4=1003
1022,小怪,4 3=1001;2 4=1002;6 4=1001,,BATTLE,0 0,7 3=1002;5 1=1003;3 1=1001;1 3=1001;1 2=1001
1023,小怪,4 1=1004;3 4=1004,,BATTLE,0 0,7 3=1001;1 4=1002
1024,小怪,4 1=1001;2 1=1005,,BATTLE,0 0,1 3=1003;7 1=1002;5 4=1001;6 3=1002;3 2=1002
1025,小怪,3 3=1003;6 4=1001;7 2=1003,,BATTLE,0 0,1 3=1003;5 4=1002;4 1=1002
1026,小怪,2 2=1002;5 1=1003,,BATTLE,0 0,6 4=1001;1 2=1001;3 1=1002;2 3=1001;7 3=1001
1027,小怪,6 2=1002;2 3=1004;7 4=1004,,BATTLE,0 0,4 4=1002;4 1=1003;1 4=1002;5 4=1003;3 2=1003
1028,小怪,6 1=1004;4 2=1003;2 1=1001,,BATTLE,0 0,6 3=1001
1029,小怪,2 4=1005;4 2=1005,,BATTLE,0 0,7 4=1003;3 3=1002;1 4=1003;5 2=1003
1030,小怪,5 3=1004;1 4=1003;1 2=1002,,BATTLE,0 0,7 1=1002
1031,小怪,6 4=1005;6 2=1001;4 1=1003,,BATTLE,0 0,7 4=1003;3 4=1002;2 3=1001;5 4=1003;1 3=1001
1032,小怪,1 3=1005,,BATTLE,0 0,6 3=1001;2 3=1001
1033,小怪,6 3=1001,,BATTLE,0 0,3 2=1003;2 2=1002;3 1=1003
1034,小怪,1 1=1003,,BATTLE,0 0,6 2=1003;3 1=1003;6 3=1002
1035,小怪,1 1=1004,,BATTLE,0 0,1 3=1003;1 2=1002
1036,小怪,7 4=1002;5 3=1004;3 2=1005,,BATTLE,0 0,2 4=1002;1 4=1002;6 3=1002
1037,小怪,4 4=1003;1 4=1001,,BATTLE,0 0,6 3=1001
1038,小怪,6 2=1002,,BATTLE,0 0,5 2=1001
1039,小怪,4 2=1002;5 4=1002,,BATTLE,0 0,2 3=1003;7 4=1003;4 1=1002;1 2=1001
1040,小怪,2 3=1001;5 1=1005,,BATTLE,0 0,3 1=1001
1041,休息處,,,RECOVER,0 0,
1042,休息處,,,RECOVER,1 0,
1043,休息處,,,RECOVER,2 0,
1044,休息處,,,RECOVER,3 0,
1045,休息處,,,RECOVER,4 0,
1046,休息處,,,RECOVER,5 0,
1047,休息處,,,RECOVER,6 0,
1048,休息處,,,RECOVER,7 0,
1049,休息處,,,RECOVER,8 0,
1050,休息處,,,RECOVER,9 0,
1051,休息處,,,RECOVER,10 0,
1052,休息處,,,RECOVER,11 0,
1053,休息處,,,RECOVER,12 0,
1054,休息處,,,RECOVER,13 0,
1055,休息處,,,RECOVER,14 0,
1056,休息處,,,RECOVER,15 0,
1057,休息處,,,RECOVER,16 0,
1058,休息處,,,RECOVER,17 0,
1059,休息處,,,RECOVER,18 0,
1060,休息處,,,RECOVER,19 0,
