分支,類型,名稱,指令,內容
DEFAULT,TALK,???,,.....................................................................。
DEFAULT,TALK,,,女孩小心翼翼地站起身，看著周圍的樹木和濃霧。她的聲音顯得困惑和驚慌。
DEFAULT,TALK,???,,嗚...我的頭好痛。這是哪裡？我怎麼會在這裡醒來？
DEFAULT,TALK,???,,我是誰？我的名字是什麼？為什麼我會在這個陌生的地方？
DEFAULT,TALK,???,,....................................................................。
DEFAULT,TALK,???,,還是想不起來。
DEFAULT,TALK,???,,不管怎樣，先四處探索吧，說不定會有其他發現。
DEFAULT,TALK,,,女孩深深吸了口氣，開始四處探索
DEFAULT,CHOICE,CLOSE,22,向前走
12,CHOICE,CLOSE,22,向前走
22,TALK,???,,迷霧太濃了，該往哪裡走呢?
22,CHOICE,CLOSE,32,向前走
22,CHOICE,CLOSE,12,向後走
22,CHOICE,CLOSE,21,向右走
21,TALK,???,,迷霧太濃了，該往哪裡走呢?
21,CHOICE,CLOSE,22,向左走
32,TALK,,,遭遇了怪物
32,CHOICE,CLOSE,BATTLE,扁牠
32,CHOICE,CLOSE,33,烙幹
32,TALK,???,,該往哪走呢？
32BATTLE,CHOICE,CLOSE,33,向上走
32BATTLE,CHOICE,CLOSE,43,向右走
